,Instrument,RIC,Currency,Issuer Rating,Rating Source Description,Date,Fitchs Rating,Fitchs Rating Date,SP Rating,SP Rating Date,Moodys Rating,Moodys Rating Date,Duration,Total Duration,Modified Duration,Modified Duration,Mac. Duration,Macaulay Duration,Yield To Maturity,Yield to Maturity,Average Yield to Maturity,Yield to Maturity,Bond Grade,Par Value,Face Issued Total
52,SE0011426220=,SE0011426220=,SEK,,,,,,,,,2019-05-23,2.4513,,0.0556,,2.445536,,9.308875,,,8.269769,,2000000,700000000
53,SE0011452440=,SE0011452440=,SEK,,,,,,,,,2018-09-25,,,,,,,,,,,,1000,988750000
54,SE0011615772=,SE0011615772=,SEK,A1,Moody's Derived Long-term Issuer Rating,2024-09-23,,,,,,2018-11-12,,,,,,,,,,,,10000,50000000
55,SE0011643196=,SE0011643196=,SEK,,,,,,,,,2019-03-20,4.6429,,4.4818,0.435139795274563,4.642566,,3.644668,,,3.59459,,2000000,380000000
56,SE0011643394=,SE0011643394=,SEK,Baa2,Moody's Derived Long-term Issuer Rating,2025-05-23,,,,,,2019-06-05,2.9175,,2.8118,0.291102651531633,2.917295,,3.809838,,,3.759804,,2000000,100000000
57,SE0011721380=ST,SE0011721380=ST,SEK,,,,,,,,,2018-11-09,0.4962,,0.4937,,,,,,,1.0,,5000,70370000
58,SE0011751999=,SE0011751999=,SEK,A1,Moody's Derived Long-term Issuer Rating,2024-09-23,,,,,,2018-12-18,,,,,,,,,,,,10000,100000000
59,SE0011762665=,SE0011762665=,SEK,,,,,,,,,2018-10-11,10.6709,,10.2553,0.981690047645984,10.66502,,4.103002,,,4.052846,,2000000,300000000
60,SE0011788355=ST,SE0011788355=ST,SEK,A1,Moody's Derived Long-term Issuer Rating,2024-09-23,,,,,,2018-11-16,,,,,,,,,,,,10000,50000000
61,SE0011869940=,SE0011869940=,SEK,,,,,,,,,2019-09-20,18.8477,,18.0982,1.71002549223305,18.807114,,4.216991,,,4.141372,,2000000,200000000
